profileid,follower_count,post_count,comment_count,mirror_count
1,93244,160,3,18
5,86991,1632,73,101
36,60355,449,68,62
26139,60316,314,1,3
13,59407,126,149,107
6,56194,59,13,12
12,52244,10,1,11
142,50112,472,56,103
45,44630,90,39,52
7,38460,19,9,20
22,38300,95,6,11
39,30245,11,3,3
130,30165,104,17,59
80,27810,142,10,8
172,27745,92,10,56
285,22112,100,10,9
528,20935,145,23,2
3297,19598,165,1,2
325,19515,194,26,5
628,18937,223,8,32
10402,17784,329,13,30
345,17273,220,25,22
204,17200,35,1,1
306,15284,249,114,30
990,15112,151,22,12
216,14726,20,4,1
323,14672,43,57,17
786,14547,207,5,6
3973,13927,463,274,47
2498,13856,553,34,39
1374,13665,103,34,4
2545,13542,81,28,5
61553,13241,1063,17,16
91392,13071,1500,1,11
165,12996,131,6,5
41,12904,32,55,2
366,12690,36,8,5
59684,12475,1513,4,12
16,12321,32,4,2
69,12124,15,4,2
3430,12120,459,16,41
678,12119,63,35,25
1131,12077,98,41,64
215,11899,28,18,2
1314,11469,243,425,105
18,11368,11,22,11
22450,11318,293,13,23
42808,11155,939,4,1
300,11091,1714,475,1
145,10733,68,17,18
7224,10165,347,17,5
3659,10119,106,23,45
5107,9737,220,7,6
4231,9698,167,33,17
245,9473,26,29,5
1748,9429,57,2,1
6502,9366,117,10,13
22657,9223,226,6,8
22533,9078,626,358,29
42,8913,37,6,6
313,8841,21,5,2
6985,8685,127,8,21
12004,8401,280,19,9
73557,8225,755,5,12
8551,8212,1109,9,27
31072,8191,1,4,9
1616,8170,491,21,8
24884,8112,94,1,7
3702,8062,115,5,13
81134,8037,2066,2,2
12908,7990,719,92,144
3004,7834,135,24,9
8446,7790,119,21,19
11162,7701,82,1,1
65867,7481,205,1,3
31188,7287,282,152,95
666,6943,27,34,26
6315,6931,36,22,56
194,6874,54,27,57
66252,6853,86,10,9
7895,6764,172,26,10
4391,6724,539,159,1
34669,6561,165,41,25
12786,6542,56,9,1
66941,6503,95,8,371
527,6470,25,18,1
51,6400,43,1,2
61873,6374,605,81,17
1196,6340,55,9,4
11598,6309,36,9,14
67900,6176,19,1,1
30736,6119,90,5,6
5959,6090,69,8,3
62220,5996,522,2,12
14030,5691,2,3,1
101481,5687,83,15,16
8003,5685,17,2,6
9531,5630,73,5,6
1576,5598,48,5,3
29617,5523,637,24,42
3277,5517,31,9,1
17468,5405,31,1,4
44207,5365,785,64,91
28321,5321,1006,12,4
29604,5321,221,19,29
23643,5283,262,78,18
31921,5192,114,5,2
78547,5183,197,47,4
28067,5083,607,39,70
26737,4996,187,3,21
2359,4981,50,59,67
63016,4946,563,4,26
25489,4946,66,7,12
22630,4944,1729,21,34
52,4944,1,1,4
14089,4928,226,2,1
11766,4928,106,17,1
94248,4917,52,1,5
14619,4880,10,4,13
45512,4869,41,20,104
42636,4867,652,15,16
8243,4841,82,2,5
1458,4799,707,3,2
23387,4767,113,4,1
30824,4709,181,1,1
403,4701,242,89,1
3834,4542,205,64,72
72768,4531,752,4,16
27129,4510,69,24,6
11270,4485,34,2,1
31070,4471,101,1,1
35292,4465,441,35,40
107246,4451,65,1,8
27446,4446,160,16,39
29009,4390,65,4,4
23845,4386,254,3,6
72080,4359,444,2,2
33304,4264,92,20,1
8931,4225,83,3,48
10016,4141,29,3,2
1707,4139,73,10,4
9261,4105,188,56,115
102810,4091,201,2,56
7415,4053,30,7,8
36332,4048,58,8,4
8465,4046,74,54,12
30370,3982,164,2,3
10106,3980,86,2,2
7193,3921,52,44,3
30949,3894,45,3,17
3402,3888,52,18,13
11818,3886,135,1,9
103683,3818,2697,1,7
31150,3806,450,10,120
279,3768,6,5,1
65728,3668,403,4,4
9382,3651,559,12,19
37691,3629,355,41,13
41542,3608,235,3,17
34471,3584,49,1,1
42261,3529,140,2,17
88043,3464,84,4,4
18954,3462,58,41,80
14226,3419,152,25,15
60583,3408,338,1,8
961,3366,837,24,17
7594,3323,201,4,94
90529,3285,331,26,17
35416,3254,97,4,1
66298,3243,117,1,1
23993,3202,427,4,1
67368,3191,501,6,19
72865,3190,217,3,13
72730,3163,337,3,1
37939,3148,392,1,22
153,3082,521,17,11
26686,3069,117,3,5
49597,3009,300,4,2
39677,2994,124,23,25
70527,2958,356,11,66
32468,2935,80,4,3
2397,2932,21,15,2
10,2927,13,4,3
89770,2920,1110,1,1
34021,2910,78,1,1
36610,2892,370,7,71
13433,2880,4,3,1
43802,2869,195,10,5
33256,2853,67,8,6
22251,2848,62,9,6
2178,2820,684,3,2
82866,2808,102,8,5
15235,2753,259,11,25
9668,2737,30,7,2
8121,2727,188,20,22
7195,2723,21,1,1
63152,2720,241,18,28
8329,2719,35,3,1
56627,2709,466,45,6
10446,2701,108,5,17
54595,2696,41,4,31
47875,2683,325,62,44
240,2662,5,19,9
54563,2659,231,1,129
105230,2604,4556,6,72
69503,2601,555,3,2
3248,2592,31,17,10
26839,2587,66,14,7
59075,2566,686,110,3
28332,2545,92,2,3
23435,2543,945,165,173
31365,2539,60,27,19
104588,2521,37,11,5
67258,2518,111,1,3
59302,2513,227,1,1
27339,2504,271,290,47
90724,2501,286,3,2
107330,2476,867,16,324
14282,2455,115,14,12
30350,2454,35,9,3
52992,2426,61,5,107
74505,2410,127,35,105
296,2402,464,33,33
971,2402,61,8,22
49705,2401,37,2,7
73809,2397,124,1,305
36016,2389,107,8,7
24164,2387,63,21,9
14020,2374,49,2,2
67381,2361,241,32,10
2647,2329,189,4,15
13304,2329,38,8,17
94460,2325,151,1,20
44382,2284,44,1,3
32264,2270,23,7,25
49162,2254,177,19,40
58618,2230,38,2,4
27462,2194,83,2,2
10200,2175,35,2,1
90173,2169,580,3,4
4469,2168,567,108,16
4371,2162,35,21,4
1887,2161,816,20,15
12875,2160,93,4,10
85126,2135,19,2,5
28735,2133,22,1,10
66274,2128,81,1,1
498,2120,24,12,15
2852,2118,22,5,8
38810,2087,157,20,33
519,2073,6,4,1
24677,2070,165,4,1
2165,2068,16,2,3
59701,2065,109,20,18
93355,2058,167,7,2
3819,2056,453,3,20
107484,2053,210,1,13
35727,2037,19,2,1
77475,2034,446,3,4
74244,2020,894,11,24
77544,2000,384,9,109
14194,1998,312,3,4
54604,1985,492,8,38
1754,1984,119,30,2
46383,1980,60,2,3
85463,1970,74,1,1
74932,1965,608,8,23
97538,1947,133,31,470
82554,1945,121,4,3
39861,1943,31,4,1
34477,1901,119,2,2
88392,1892,42,9,9
50357,1890,530,78,171
34823,1881,166,4,30
74058,1881,79,2,1
104931,1878,80,1,4
53,1871,51,13,14
92703,1868,137,1,8
99612,1867,122,2,7
66674,1867,59,1,1
96628,1855,19,2,1
40022,1852,194,5,3
87679,1842,596,13,8
54180,1832,289,10,7
105048,1830,165,1,55
77026,1817,292,1,2
74067,1816,183,2,3
67402,1806,538,1,21
21870,1806,45,2,96
47118,1789,851,3,12
74575,1780,142,1,1
71271,1778,65,2,4
111109,1751,159,383,26
101580,1736,490,2,35
9713,1734,19,1,1
69069,1725,297,2,3
1011,1715,116,5,10
73308,1708,327,6,29
48973,1703,413,5,40
76687,1700,480,11,56
79277,1693,263,5,1
42200,1690,109,4,2
4262,1689,6,14,2
40817,1679,102,3,3
60405,1675,413,3,7
39181,1672,218,2,14
108036,1671,318,29,9
75725,1671,22,2,5
36267,1662,141,61,18
886,1660,13,2,2
2592,1659,16518,72,296
23516,1658,1496,8,21
40306,1657,46,5,27
72709,1650,403,4,1
89908,1642,664,49,5
25772,1642,503,51,191
45206,1642,25,1,5
