TRADER,n_trades,avg_from_amount,avg_to_amount,cluster
osmo1002cc5zkqvlvennxy5a5jrkywa052gdh5jzrna,1,2084702.0,271208.0,0.0
osmo1002e285fc7ccd2mlw8s343tchswpz5mn90xaxc,1,100.0,6.0,0.0
osmo1002vmxepprpp9h08zf3mwc4z0279esw9kkjx5j,1,100.0,6.0,0.0
osmo1003jw7u0gzzurkc59pxcnhtspjdx0nfak6z8st,1,1738429.0,190523692.0,0.0
osmo1004ww0jddyw52vwvectmhpe0trtacjqfwqmlgl,1,100228.0,3.2601247175753e+18,0.0
osmo1006zq6m9n5v4v4uxfa2q8e55du9503nf6jrfq6,1,100.0,6.0,0.0
osmo10070xjtea3nntm4eu0qxxck9n8tr6pftz9046a,1,5000000.0,188849737.0,0.0
osmo10077290mlgkfpmx5a0fy8dmhaxj5plawt788q5,1,820000.0,3.047615037299106e+19,0.0
osmo100855lp5s7g2lm86423p44y4kq8xmy9rayruph,2,1416350.0,6.36364556605106e+17,0.0
osmo1008else7ckef0rq9aqs5277ghnhxrt25lt04mx,1,100.0,6.0,0.0
osmo100ejyajsusdxy85n37d5wnu8rjkfmgw4806m5w,2,24620709.0,42792.0,0.0
osmo100gg7c30k5y50z0mwu44fr08f2n4szd5pjt897,1,100.0,6.0,0.0
osmo100jlzgr7njpdum25pepahr4xmfr7c3gjjsurzc,1,26231234.0,36007535.0,0.0
osmo100lngazcuyx9s7retesv34e447jadtg97x2gaa,2,1.5000000000007e+18,586188.0,0.0
osmo100np9yumjrkn33jzm4kc5d69fzwzawpas9xlyc,1,50000.0,1.6831356369612518e+18,0.0
osmo100petn5vph9snt3n5y2xn8p06nn8nf8jffgz9f,1,151830559.0,10047392.0,0.0
osmo100q2ytgrhk8ymfljch8tk0j8gr5e4rpylcqpj8,1,100.0,6.0,0.0
osmo100q5kgpqk4x8st2g7whjxlz23thmk2m60t64vg,1,867962.0,59408.0,0.0
osmo100t6w896d0tawapz6p9q2yx7rnur3t7dhdnrwd,15,100000000000.0,4.587235691801332e+17,0.0
osmo100tp7gtrqkghevww4486c8dv90tflt8e6qadh0,2,750000.0,10656835.5,0.0
osmo100uf9zht6vwwjtav522sv3whdhfqma0nyxj3wr,1,145085009.0,7864906.0,0.0
osmo100v228fprutzyt9gz0hnqw3cadrw6vm87dpdqt,1,100.0,6.0,0.0
osmo100v2eh8jv7xd5vyjl3swhjdqzl7qrcf58lcn4x,1,100.0,6.0,0.0
osmo100wc05kmt73lfaff9y4zlgksry6jc4v2ku50qd,1,5e+19,14695228.0,0.0
osmo100y04wr8te6fw4pnw43xe64lyf2ft4sfw4fsz3,1,100.0,6.0,0.0
osmo100ywfax95u9c6mndxzuqkq2fdkv7f6pqmsnhke,14,4494924.214285715,3.5029146505209846e+18,0.0
osmo100ywhcfahuztve8g8qr2krldgr8z4l4tcfav46,1,100.0,6.0,0.0
osmo100zyh3usmr0d0859gy25eekuj3dcpeh59247v4,1,100.0,6.0,0.0
osmo100zz9jxtyhvezesgjnfx8egztawqljusglqyct,1,100.0,6.0,0.0
osmo10220mfhkxnj7ypu5xygmj99xs5t2z3nrhq3gnr,1,100.0,6.0,0.0
osmo10232737pcufp0438srapawq2hktevm802cmsnq,1,55500000.0,531602.0,0.0
